Edges,RuntimeInSeconds,Graph
14031,30.79,1
14585,14.0313,1
14585,13.5579,1
14585,13.608,1
14585,13.5812,1
14585,14.0185,1
14585,14.1853,1
14585,14.15,1
14585,14.0794,1
14585,13.801,1
14585,13.8419,1
14817,11.2121,1
14817,11.1606,1
14817,11.2196,1
14817,11.138,1
14817,10.9242,1
14817,11.3963,1
14817,11.2922,1
14817,11.5454,1
14817,10.9588,1
14817,11.1763,1
15074,9.0359,1
15074,8.9152,1
15074,8.9556,1
15074,8.9341,1
15074,6.029,1
15074,8.8021,1
15074,5.8121,1
15074,8.8873,1
15074,8.997,1
15074,5.909,1
15325,8.1429,1
15325,5.3698,1
15325,8.301,1
15325,8.4716,1
15325,8.4719,1
15325,8.4114,1
15325,8.3153,1
15325,5.3115,1
15325,5.3193,1
15325,8.1675,1
15590,24.3897,1
15590,24.6209,1
15590,25.5629,1
15590,24.3386,1
15590,24.3244,1
15590,24.2086,1
15590,25.0096,1
15590,24.2849,1
15590,24.4772,1
15590,24.9334,1
15946,16.4764,1
15946,17.1478,1
15946,16.6971,1
15946,16.5228,1
15946,16.7177,1
15946,16.7377,1
15946,16.4432,1
15946,16.2555,1
15946,16.9032,1
15946,16.4701,1
16054,38.2789,1
16054,38.1189,1
16054,38.5849,1
16054,38.4831,1
16054,37.975,1
16054,38.2584,1
16054,38.6097,1
16054,36.8155,1
16054,38.2779,1
16054,38.4123,1
16673,41.1834,1
16673,40.7208,1
16673,41.9039,1
16673,40.9489,1
16673,42.2308,1
16673,41.3207,1
16673,41.9514,1
16673,41.3519,1
16673,41.6651,1
16673,41.4223,1
16890,47.2912,1
16890,48.2578,1
16890,49.3576,1
16890,46.1801,1
16890,48.8642,1
16890,48.2525,1
16890,48.4106,1
16890,47.9211,1
16890,47.9074,1
