Edges,RuntimeInSeconds
5396,38.3313
5396,42.3097
5396,40.7251
5596,10.0921
5596,9.8515
5596,10.0164
5596,10.0241
5596,9.844
5596,9.9691
5596,9.7545
5596,10.3093
5596,10.016
5596,10.1771
5796,8.5515
5796,9.0287
5796,9.3073
5796,8.8253
5796,9.0447
5796,9.0729
5796,9.1525
5796,9.4666
5796,9.1167
5796,9.2604
5996,15.6838
5996,16.1379
5996,16.132
5996,16.0937
5996,16.9893
5996,15.5509
5996,15.6331
5996,16.4559
5996,15.7826
5996,15.9047
6196,11.2692
6196,12.0391
6196,11.5526
6196,11.7758
6196,11.9658
6196,11.7206
6196,11.6593
6196,11.7749
6196,11.5029
6196,11.3539
6396,82.1658
6396,68.9143
6396,100.3262
6396,103.4458
6396,83.382
6396,84.1831
6396,65.2327
6396,87.7975
6396,79.5334
6396,78.8423
6596,10.1968
6596,10.9938
6596,10.2877
6596,10.6967
6596,10.2993
6596,10.8961
6596,10.8464
6596,11.1172
6596,10.6177
6596,10.9427
6796,29.9562
6796,29.2984
6796,33.4159
6796,31.4968
6796,31.8052
6796,31.9084
6796,30.2171
6796,28.2994
6796,32.0811
6796,33.0347
6996,62.8752
6996,59.7451
6996,51.6409
6996,60.1677
6996,55.8645
6996,58.2373
6996,47.1586
6996,63.3113
6996,52.3524
6996,62.7643
7196,47.1802
7196,43.7172
7196,48.1999
7196,48.2463
7196,49.4079
7196,51.4878
7196,46.6922
7196,39.9838
7196,48.1556
7196,45.9275
7396,13.7657
7396,14.2351
7396,14.2891
7396,14.0476
7396,14.0847
7396,14.2913
7396,14.0552
7396,13.9031
7396,13.6646
7396,13.5517
7596,10.4719
7596,9.8636
7596,10.5249
7596,10.1159
7596,9.7517
7596,10.3454
7596,10.3323
7596,10.2496
7596,10.4665
7596,10.0677
7796,13.6829
7796,13.5939
7796,12.779
7796,13.46
7796,13.0349
7796,13.3801
7796,14.18
7796,13.0162
7796,13.6688
7796,13.7617
7996,15.0054
7996,14.1273
7996,15.2484
7996,15.7761
7996,14.8166
7996,14.5633
7996,14.4483
7996,15.7886
7996,16.1848
7996,15.3694
8196,10.9556
8196,10.8903
8196,10.46
8196,10.5364
8196,10.8151
8196,10.306
8196,10.7949
8196,10.5356
8196,10.6347
8196,10.9728
8396,11.2771
8396,11.7176
8396,11.1484
8396,12.0502
8396,11.5307
8396,12.203
8396,11.1434
8396,11.5423
8396,11.7979
8396,11.5836
8596,10.851
8596,11.8111
8596,11.1987
8596,11.5461
8596,11.5697
8596,11.4581
8596,11.3029
8596,12.0939
8596,11.7918
8596,11.6353
8796,9.3053
8796,9.7376
8796,9.5578
8796,9.2445
8796,9.6859
8796,9.4446
8796,9.6829
8796,9.3412
8796,9.7617
8796,9.3973
8996,23.0521
8996,22.8494
8996,25.0165
8996,25.0877
8996,25.2448
8996,24.0631
8996,23.0255
8996,24.0958
8996,23.6037
8996,24.5868
9196,18.3423
9196,17.7702
9196,18.7256
9196,17.9216
9196,18.5857
9196,17.7921
9196,16.2117
9196,18.754
9196,17.8832
9196,18.0558
9396,31.7269
9396,30.0134
9396,31.4783
9396,32.2099
9396,28.4059
9396,30.0018
9396,31.5438
9396,29.0629
9396,29.5745
9396,32.8734
9596,127.1643
9596,108.3604
9596,119.5178
9596,86.6003
9596,96.5248
9596,81.5151
9596,77.5364
9596,117.8441
9596,129.7669
9596,123.5736
9796,37.1346
9796,37.9041
9796,37.4348
9796,36.9947
9796,38.2764
9796,39.6098
9796,39.2408
9796,36.0422
9796,36.8661
9796,35.7829
9996,22.7996
9996,23.4535
9996,23.7058
9996,21.0343
9996,23.5444
9996,22.1812
9996,21.8946
9996,22.5186
9996,22.5594
9996,23.8884
10196,21.5478
10196,22.6885
10196,23.3604
10196,23.0272
10196,23.1468
10196,25.0572
10196,22.9754
10196,21.5644
10196,23.6739
10196,24.4192
10396,9.7089
10396,9.4849
10396,9.5819
10396,9.6724
10396,9.5732
10396,9.4548
10396,9.538
10396,9.7577
10396,9.8247
10396,9.5788
10596,43.2813
10596,43.2851
10596,43.1797
10596,45.2946
10596,48.313
10596,40.8242
10596,43.7967
10596,48.1512
10596,46.4002
10596,44.1803
10796,42.1142
10796,45.4504
10796,44.2704
10796,39.5281
10796,45.213
10796,46.5794
10796,45.1894
10796,44.7193
10796,42.991
10796,39.8192
10996,23.9673
10996,24.303
10996,24.7034
10996,22.1788
10996,23.323
10996,25.2457
10996,25.6741
10996,23.1518
10996,24.5573
10996,25.0966
11196,71.4441
11196,69.4727
11196,66.3596
11196,74.0449
11196,74.4232
11196,64.6847
11196,66.1192
11196,62.0247
11196,67.9067
11196,72.4295
11396,34.4609
11396,38.9521
11396,35.6208
11396,36.9868
11396,33.7382
11396,32.8252
11396,36.3426
11396,38.4378
11396,36.6668
11396,33.9083
11596,12.3914
11596,11.9185
11596,12.7679
11596,12.6913
11596,12.0067
11596,12.0367
11596,12.2829
11596,12.8266
11596,12.7424
11596,11.9904
11796,13.5691
11796,12.4787
11796,13.5381
11796,13.2204
11796,13.2717
11796,12.5415
11796,13.3938
11796,13.0221
11796,13.0734
11796,13.7414
11996,18.7519
11996,19.4922
11996,20.3606
11996,21.2432
11996,19.705
11996,20.1406
11996,18.8518
11996,19.8952
11996,19.397
11996,19.5286
196,0.0629
196,0.0703
196,0.0698
196,0.0624
196,0.0541
196,0.0666
196,0.0474
196,0.0824
196,0.0663
196,0.0581
396,0.077
396,0.0834
396,0.0763
396,0.082
396,0.0778
396,0.0696
396,0.0801
396,0.0795
396,0.0782
396,0.0747
596,1.6274
596,1.1432
596,1.7166
596,1.318
596,1.0628
596,1.1681
596,1.6112
596,1.0875
596,1.4358
596,1.2255
796,0.2453
796,0.2157
796,0.2089
796,0.2207
796,0.2144
796,0.1947
796,0.2259
796,0.2097
796,0.2156
796,0.209
996,1.4905
996,1.2054
996,1.3492
996,1.1219
996,1.3096
996,1.2757
996,1.3332
996,1.2245
996,1.5886
996,1.4208
1196,1.356
1196,1.3175
1196,1.5527
1196,1.7527
1196,1.5707
1196,1.4141
1196,1.6096
1196,1.5195
1196,1.6487
1196,1.7777
1396,1.2233
1396,1.1944
1396,1.138
1396,1.0626
1396,1.2373
1396,1.1207
1396,1.1113
1396,1.1922
1396,1.0663
1396,1.0739
1596,1.825
